time,xcoord,ycoord,depth
2,16,14,0.865
2,22,17,1.022
2,17,6,0.776
2,21,17,0.59
2,12,1,0.205
2,13,8,0.186
2,16,9,0.057
2,3,8,1.401
2,11,22,0.084
2,21,0,0.456
2,12,18,2.376
2,15,13,1.939
2,22,22,0.934
2,10,19,0.662
2,1,9,0.398
2,1,15,0.092
2,2,7,0
2,10,6,1.191
2,0,9,1.035
2,19,15,0
2,7,17,0.597
2,8,3,0
2,16,3,0
2,17,24,3.667
2,22,13,1.856
2,4,10,0.99
2,1,16,0.185
2,11,19,0.033
2,13,14,0
2,14,19,0.628
2,18,5,0.535
2,15,22,0.767
2,22,0,0.038
2,18,19,0
2,6,6,1.335
2,3,9,0.132
2,21,19,0
2,4,19,0
2,8,9,0.618
2,3,1,0.018
2,9,15,0
2,3,0,1.392
2,14,14,0.632
2,21,11,0
2,5,0,2.105
2,22,9,1.162
2,12,4,0.707
2,19,6,0.563
2,16,13,1.004
2,2,3,0
2,3,19,0.004
2,1,21,0
2,21,13,0.429
2,22,23,0.274
2,3,3,0
2,15,4,0.024
2,0,6,1.557
2,17,13,0.713
2,13,13,0
2,22,1,0.414
2,10,12,0.022
2,22,5,1.392
2,16,7,0
2,4,15,0
2,0,7,0.289
2,8,8,3.169
2,15,9,0.017
2,17,7,0
2,4,20,0.039
2,2,12,0
2,14,20,0
2,13,23,0.094
2,10,22,0.894
2,18,20,0.003
2,7,1,0.036
2,1,2,0
2,6,22,0.917
2,11,14,0.409
2,10,15,0
2,20,16,3.929
2,0,0,0.019
2,0,1,1.053
2,2,2,0
2,8,1,0.048
2,9,16,3.757
2,8,12,0.749
2,7,9,0.57
2,19,17,0.751
2,10,4,0
2,3,6,0.955
2,11,11,0
2,9,23,0
2,6,3,0
2,4,11,0
2,21,23,0.562
2,18,1,0.382
2,16,11,0
2,9,4,0.156
2,13,12,0
2,13,11,0
2,20,3,0.625
2,2,16,0.971
2,16,22,0.032
2,2,24,1.073
2,8,22,0.943
2,6,1,0.023
2,10,7,0
2,7,2,1.007
2,16,19,0
2,5,24,2.503
2,5,7,0
2,18,7,0
2,14,23,0
2,15,15,0
2,0,21,1.564
2,18,16,4.024
2,6,20,0.006
2,4,13,2.305
2,22,2,0.905
2,17,22,0.667
2,13,17,0.264
2,10,9,0.478
2,22,4,1.766
2,16,24,2.969
2,1,3,0
2,14,0,0.934
2,19,14,0.675
2,10,20,1.117
2,20,10,0.269
2,8,0,2.954
2,18,0,2.418
2,19,10,0.51
2,16,21,0.001
2,11,3,0
2,16,17,0.667
2,4,7,0
2,3,4,0.016
2,14,10,0.606
2,15,24,2.217
2,14,16,1.265
2,18,24,4.204
2,8,19,0
2,14,2,0.156
2,4,22,0.899
2,15,23,0
2,12,23,0.184
2,9,11,0
2,10,13,1.799
2,4,14,0.963
2,14,18,0.864
2,21,3,0.029
2,6,21,0.845
2,12,10,2.519
2,19,4,0
2,17,2,1.037
2,10,8,3.452
2,12,17,0.786
2,9,13,2.746
2,0,24,0
2,17,12,0.005
2,8,7,0
2,17,0,2.107
2,11,21,0.298
2,13,24,0.287
2,2,22,0.607
2,13,6,0
2,6,24,2.899
2,12,0,0.089
2,21,18,0.025
2,4,2,0.98
2,8,20,0.05
2,20,1,0.458
2,15,3,0.043
2,19,2,0.841
2,1,4,0
2,3,7,0
2,13,15,0.067
2,16,20,0
2,3,16,1.488
2,5,6,1.175
2,1,22,0
2,9,22,0.93
2,21,9,0.639
2,18,4,0.002
2,9,24,3.912
2,19,21,0.713
2,19,16,4.359
2,17,11,0
2,21,2,0.341
2,2,6,0.664
2,5,12,0.011
2,14,8,1.014
2,10,11,0
2,4,23,0
2,7,5,2.488
2,22,6,0.934
2,19,3,0
2,1,23,0.116
2,16,18,0.875
2,6,5,3.479
2,20,17,0.496
2,6,0,2.409
2,18,2,1.094
2,14,7,0
2,8,6,1.318
2,0,10,2.779
2,2,11,0.62
2,0,19,2.381
2,20,24,3.911
2,7,16,3.115
2,15,5,1.984
2,7,13,0.766
2,1,11,0
2,20,13,1.048
2,13,19,0
2,12,21,1.42
2,20,18,0.833
2,12,16,0.062
2,4,12,0.032
2,5,11,0
2,19,9,0.028
2,15,11,0
2,1,8,0.184
2,4,21,2.294
2,2,21,0.036
2,1,17,0.391
2,0,14,1.14
2,10,3,0
2,15,17,0.684
2,22,20,1.771
2,4,3,0
2,20,4,0
2,20,5,0.055
2,16,6,0.624
2,9,18,0.918
2,11,15,0.445
2,5,3,0.005
2,3,11,0.04
2,9,7,0
2,3,13,0.888
2,8,16,3.463
2,7,11,0
2,0,20,2.004
2,7,23,0
2,19,8,3.739
2,3,21,0.923
2,15,7,0
2,22,14,0.947
2,6,10,1.048
2,17,8,2.66
2,8,21,2.463
2,1,7,0.095
2,14,6,0.626
2,20,22,0.822
2,1,24,0.278
2,9,8,3.437
2,11,8,1.178
2,10,21,1.021
2,9,5,1.064
2,16,2,0.914
2,13,10,0
2,17,21,0.047
2,16,8,2.102
2,16,16,2.714
2,21,15,0.385
2,19,20,0.005
2,21,6,0.029
2,9,3,0
2,22,12,2.18
2,15,20,0.001
2,8,18,0.92
2,20,21,0.65
2,2,5,0.799
2,13,16,0.188
2,13,1,0.094
2,21,21,0.001
2,16,12,0.008
2,2,13,0.03
2,14,3,0.632
2,2,4,0.032
2,7,20,1.119
2,8,24,3.636
2,9,10,1.043
2,16,1,0.04
2,12,11,2.289
2,2,23,0
2,11,18,0.497
2,3,15,0
2,20,12,1.601
2,1,1,0.438
2,12,7,0.188
2,16,4,0
2,20,23,0
2,0,23,0.277
2,7,10,1.053
2,2,18,0.606
2,7,15,0
2,12,2,0.372
2,9,12,0.052
2,1,6,0
2,22,10,2.623
2,21,22,0.023
2,17,23,0
2,7,18,0.925
2,12,19,2.158
2,12,22,0.924
2,10,5,0.169
2,2,17,0.033
2,19,7,0
2,22,15,0.274
2,11,2,0.198
2,9,0,3.19
2,9,20,0.017
2,19,5,0.031
2,20,6,0.743
2,13,0,0.274
2,4,24,2.082
2,4,4,0.062
2,11,0,1.453
2,11,1,0.619
2,13,2,0.101
2,15,12,0.03
2,7,14,1.002
2,1,12,0
2,17,5,0.157
2,7,0,2.691
2,2,15,0
2,14,17,0.49
2,5,20,0.013
2,6,4,0.072
2,7,8,2.86
2,17,9,0.425
2,13,18,0
2,6,17,0.598
2,18,9,0.602
2,1,10,0
2,18,14,0.039
2,19,24,4.4
2,17,3,0
2,16,0,1.771
2,5,18,0.928
2,4,0,1.771
2,12,15,0.185
2,17,20,0
2,1,0,0.274
2,4,18,0.885
2,16,23,0
2,17,17,0.708
2,0,16,0.045
2,13,7,0.067
2,6,18,0.929
2,10,16,3.725
2,21,12,0.03
2,15,2,0.676
2,18,8,3.263
2,19,22,0.849
2,4,8,1.81
2,16,10,0.698
2,17,16,3.402
2,10,24,3.805
2,22,16,0.069
2,2,8,0.918
2,6,14,1.006
2,15,1,0.024
2,3,17,0.087
2,6,15,0
2,20,11,0.021
2,1,18,0
2,3,12,0.163
2,9,6,1.265
2,13,5,0
2,15,16,2.028
2,15,19,0.026
2,18,10,0.855
2,8,2,1.141
2,11,4,0.205
2,14,1,0.001
2,4,9,0.3
2,19,12,0
2,0,15,0.28
2,22,11,2.469
2,5,17,0.58
2,18,21,0.556
2,11,20,0.009
2,12,9,0.796
2,6,7,0
2,10,18,1.082
2,18,12,0
2,18,13,0.003
4,17,6,0.836
4,15,1,0.249
4,0,4,3.183
4,5,18,0.959
4,8,17,1.408
4,9,22,0.994
4,17,11,0.01
4,6,2,0.955
4,12,4,0.752
4,11,16,1.634
4,15,11,0.028
4,17,14,0.953
4,21,16,1.416
4,16,0,1.89
4,21,3,0.34
4,21,24,1.287
4,14,2,0.17
4,16,15,0
4,9,19,0.124
4,19,22,0.906
4,10,6,1.325
4,19,17,1.436
4,10,8,4.464
4,19,4,0.023
4,4,1,0.572
4,21,0,0.486
4,22,0,0.04
4,4,8,2.264
4,16,11,0.017
4,5,6,1.215
4,2,1,0
4,3,17,0.963
4,20,11,1.067
4,7,1,0.742
4,8,5,3.636
4,6,15,0
4,8,22,0.991
4,1,21,0
4,10,15,0
4,7,12,0.948
4,20,12,2.627
4,2,9,0.486
4,7,0,2.836
4,1,2,0
4,20,18,0.857
4,11,14,0.825
4,8,2,1.291
4,14,18,0.874
4,8,0,3.188
4,6,13,2.966
4,13,17,0.367
4,5,12,1.378
4,19,7,0
4,17,15,0
4,0,19,2.381
4,11,19,1.021
4,11,1,0.682
4,18,2,1.153
4,18,8,3.913
4,16,5,2.147
4,11,12,0.261
4,16,6,0.672
4,12,23,0.184
4,14,10,0.611
4,13,12,0
4,7,5,3.941
4,13,22,0
4,22,13,1.9
4,8,23,0
4,16,23,0
4,7,10,1.114
4,3,2,0.693
4,0,24,0
4,21,23,0.573
4,6,3,0.318
4,22,6,0.969
4,10,10,1.072
4,11,7,0.709
4,19,14,0.747
4,17,10,0.839
4,20,9,0.017
4,18,18,0.9
4,21,13,0.452
4,16,18,0.901
4,5,5,1.71
4,0,21,1.564
4,18,22,0.846
4,15,9,0.042
4,18,23,0
4,14,1,0.002
4,12,20,2.312
4,11,3,0
